,StudentID,Preferences,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,V_Score,R_Score,A_Score,K_Score,Preferred_Style,Visual,Auditorial,Reading,Kinesthetic
0,1,"A, R",0.25,0.25,0.75,0.75,0.5,0.25,1.0,0.25,0.25,0.5,0.0,0.25,0.25,0.5,0.5,0.5,1.0,0.5,0.25,0.75,0.25,1.0,0.75,0.75,0.75,0.75,0.5,0.5,3.75,1.5,3.5,4.25,K,0.4722222222222222,0.7,0.6666666666666666,0.4318181818181818
1,2,V,0.0,0.0,1.0,0.5,0.5,0.25,1.0,1.0,0.5,0.5,0.5,0.5,0.75,0.5,0.75,0.75,0.75,0.25,1.0,0.75,1.0,0.5,0.5,0.5,0.5,1.0,0.75,0.25,6.75,1.75,2.25,5.5,V,0.75,0.45,0.5833333333333334,0.5454545454545454
2,3,"V, K",0.75,1.0,0.25,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.25,0.5,0.75,0.0,1.0,0.75,1.0,0.5,1.0,1.0,0.5,0.25,0.5,0.75,0.25,1.0,0.75,0.5,7.75,0.75,2.25,6.0,V,0.8611111111111112,0.45,0.4166666666666667,0.5909090909090909
3,4,"K, V, R",0.75,0.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.75,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.75,0.25,1.0,1.0,0.75,0.0,0.25,0.5,1.0,0.75,1.0,6.0,1.25,2.0,9.25,K,0.7222222222222222,0.4,0.5833333333333334,0.8409090909090909
4,5,V,0.0,0.25,0.25,0.75,0.5,0.5,0.5,1.0,0.25,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.75,0.25,0.5,1.0,1.0,0.25,0.0,0.5,0.25,0.5,0.75,1.0,5.75,1.25,1.5,3.75,V,0.6944444444444444,0.3,0.4166666666666667,0.4318181818181818
5,6,"V, R",1.0,0.5,0.5,0.75,0.25,0.25,0.25,0.75,0.5,0.25,0.5,1.0,0.5,0.75,0.75,0.5,0.25,0.75,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.75,1.0,0.25,6.25,1.5,1.75,6.0,V,0.75,0.35,0.6666666666666666,0.5454545454545454
6,7,R,0.5,0.0,1.0,0.75,0.75,0.25,0.25,0.5,0.5,0.0,0.5,0.5,0.5,0.75,1.0,0.0,0.5,0.75,0.5,0.5,0.25,0.0,0.5,0.25,0.25,1.0,0.0,0.5,3.25,2.5,1.25,5.25,K,0.3611111111111111,0.25,0.8333333333333334,0.5227272727272727
7,8,"V, K, R, A",0.75,1.0,0.75,0.25,0.75,1.0,1.0,1.0,0.5,0.5,1.0,0.75,0.75,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.75,0.5,0.75,0.75,0.75,1.0,0.0,0.75,6.75,2.0,3.75,8.75,K,0.75,0.75,0.6666666666666666,0.7954545454545454
8,9,"A, K",0.75,0.5,0.25,0.5,0.75,0.5,0.0,0.5,1.0,1.0,1.0,0.5,0.75,1.0,0.25,0.25,0.5,1.0,0.0,0.5,0.25,1.0,0.75,0.75,1.0,0.25,0.0,1.0,2.75,1.75,4.0,8.0,K,0.3055555555555556,0.8,0.5833333333333334,0.7272727272727273
9,10,"V, A, R, K",0.75,0.25,0.75,1.0,1.0,0.75,1.0,0.75,0.25,0.75,1.0,0.0,1.0,1.0,0.75,1.0,0.75,1.0,0.75,1.0,1.0,0.5,0.5,1.0,1.0,0.75,1.0,0.75,7.25,2.75,3.75,8.25,K,0.8055555555555556,0.75,0.9166666666666666,0.75
10,11,"R, V, K",1.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,1.0,0.25,0.75,0.75,0.5,0.75,1.0,0.75,0.75,0.75,1.0,0.75,0.0,1.0,0.25,0.75,1.0,0.75,1.0,7.75,2.5,3.0,9.0,K,0.8611111111111112,0.6,0.8333333333333334,0.8181818181818182
11,12,0.75,0.5,0.0,0.5,0.0,0.5,1.0,0.25,0.25,0.0,0.5,0.0,0.25,0.75,0.5,0.5,0.25,0.0,0.25,0.0,0.25,0.0,0.75,0.75,0.75,0.75,0.75,0.0,0.5,1.25,0.75,4.0,4.5,K,0.1388888888888889,0.8,0.25,0.4090909090909091
12,13,"V, A",0.5,1.0,0.5,0.5,0.25,0.75,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.25,0.75,1.0,0.75,0.25,0.75,0.75,0.5,1.0,0.5,0.75,1.0,0.25,0.75,0.0,7.25,0.75,3.5,4.25,V,0.8055555555555556,0.8,0.4166666666666667,0.4318181818181818
13,14,"A, R",0.5,0.5,0.75,0.0,0.0,0.5,0.0,1.0,0.25,0.75,0.0,0.5,0.5,0.25,0.0,0.75,0.5,0.75,0.25,0.75,0.5,0.5,0.75,1.0,1.0,0.75,0.25,1.0,4.5,1.5,3.75,4.0,V,0.5,0.75,0.5,0.4090909090909091
14,15,"A, K, V",0.75,1.0,0.75,0.0,1.0,1.0,0.75,1.0,1.0,0.75,0.75,1.0,0.5,0.5,1.0,0.5,0.75,0.0,0.75,0.75,1.0,1.0,1.0,0.75,1.0,0.5,0.75,1.0,7.5,0.75,4.75,7.0,V,0.8333333333333334,0.95,0.25,0.7727272727272727
