StudentID,Preferences,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Visual,Reading,Auditorial,Kinesthetic,Preferred_Style
554,"K, R",0.75,1.0,1.0,0.25,1.0,0.5,1.0,0.25,1.0,0.5,0.5,0.75,0.75,1.0,0.5,0.5,0.75,1.0,0.5,0.0,0.5,0.25,0.0,0.5,0.5,1.0,0.5,0.75,0.5,0.75,0.35,0.8181818181818182,K
650,"V, K",0.5,0.75,0.5,0.25,0.75,0.5,0.0,0.5,0.5,0.0,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.0,1.0,0.75,1.0,0.0,0.25,0.5,0.5,0.75,0.0,0.75,0.6944444444444444,0.25,0.35,0.5454545454545454,V
236,A,0.5,0.5,0.75,0.25,0.25,1.0,1.0,0.5,0.5,0.75,0.5,0.25,0.5,0.5,0.5,0.75,0.25,0.25,1.0,0.5,0.5,0.75,1.0,0.5,0.75,0.25,0.5,0.5,0.5555555555555556,0.4166666666666667,0.8,0.5,K
483,"A, V",0.25,0.75,0.25,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.25,0.5,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.75,1.0,1.0,0.25,0.25,0.25,0.7777777777777778,0.3333333333333333,0.7,0.45454545454545453,V
32,R,0.25,0.5,0.5,0.75,0.5,0.0,0.75,0.5,0.5,0.75,0.0,0.0,0.25,0.5,0.5,0.5,0.25,1.0,0.5,0.25,0.25,1.0,0.0,0.5,0.5,0.25,0.5,0.75,0.4166666666666667,0.75,0.4,0.4090909090909091,K
694,"K, R, A",0.5,0.5,0.75,0.75,0.75,0.75,1.0,0.75,1.0,1.0,0.75,0.75,0.75,0.75,1.0,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.75,1.0,0.75,1.0,0.5,0.75,0.4444444444444444,0.5,0.65,0.8181818181818182,K
350,V,0.25,0.25,0.75,0.75,0.25,0.75,0.75,1.0,0.25,0.75,0.5,0.5,0.75,0.5,1.0,1.0,0.75,1.0,0.75,0.75,1.0,0.5,0.5,0.5,0.75,0.25,0.0,0.75,0.7222222222222222,0.8333333333333334,0.6,0.5,V
576,R,0.5,0.5,1.0,0.75,0.25,0.5,0.75,0.5,0.0,0.25,0.25,0.5,0.75,0.25,0.5,0.25,0.5,0.75,0.25,0.0,0.5,0.0,0.5,0.75,0.75,0.0,0.5,0.5,0.3888888888888889,0.8333333333333334,0.5,0.36363636363636365,K
71,A,0.5,0.25,0.0,0.0,0.25,1.0,0.0,0.25,0.75,0.25,0.25,0.5,0.0,0.5,0.0,0.5,0.25,0.5,0.25,0.0,0.0,1.0,0.75,0.0,0.0,1.0,0.5,0.75,0.2222222222222222,0.16666666666666666,0.55,0.4318181818181818,K
259,"R, A",0.75,0.25,0.5,1.0,0.5,0.75,0.5,0.25,0.25,0.5,0.25,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.25,0.5,0.5,0.5,0.75,0.25,1.0,0.5,0.5,0.5,0.3055555555555556,0.8333333333333334,0.65,0.38636363636363635,"A, K"
65,A,0.25,0.0,0.25,0.25,0.25,0.75,0.25,0.5,0.25,0.5,0.5,0.0,0.25,0.75,0.75,1.0,0.5,0.5,0.25,0.0,0.75,1.0,0.0,0.75,0.75,0.5,0.25,0.5,0.4444444444444444,0.3333333333333333,0.65,0.36363636363636365,"V, K"
124,"A, K",0.25,0.0,0.25,1.0,0.75,0.5,0.75,0.25,0.75,0.75,1.0,0.5,0.5,0.25,0.0,0.25,0.5,0.5,0.5,0.25,0.5,0.5,0.75,1.0,1.0,1.0,0.25,1.0,0.2777777777777778,0.5833333333333334,0.75,0.6818181818181818,K
404,"A, K, V",0.5,1.0,0.25,0.5,0.5,0.75,0.75,1.0,1.0,1.0,1.0,0.75,0.5,0.75,1.0,1.0,1.0,0.25,1.0,1.0,0.75,1.0,0.75,1.0,0.25,1.0,0.75,1.0,0.9444444444444444,0.3333333333333333,0.75,0.7954545454545454,K
671,"A, V",0.25,1.0,0.25,0.25,0.0,1.0,0.5,0.75,1.0,0.75,0.25,0.25,0.5,0.25,0.75,0.75,0.5,0.25,1.0,1.0,0.75,1.0,0.5,1.0,1.0,0.25,0.75,0.5,0.8055555555555556,0.25,0.9,0.4090909090909091,V
667,V,0.75,0.25,0.0,0.5,0.0,0.5,0.75,1.0,0.25,0.5,0.5,0.5,0.5,0.5,1.0,0.75,1.0,0.5,0.75,1.0,0.0,0.5,0.25,0.5,0.25,0.75,0.75,0.75,0.7222222222222222,0.3333333333333333,0.4,0.5227272727272727,V
248,"R, V, A",0.0,1.0,0.5,0.25,0.25,1.0,0.5,1.0,0.75,0.25,0.0,0.0,0.5,0.0,1.0,0.75,0.75,1.0,0.5,1.0,0.75,1.0,1.0,1.0,0.5,0.5,0.75,0.5,0.8333333333333334,0.5833333333333334,0.9,0.29545454545454547,V
528,"R, K",0.25,0.5,1.0,0.75,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.75,0.25,0.75,0.5,1.0,0.25,0.0,0.25,0.5,0.5,0.75,0.25,1.0,0.5,1.0,0.3888888888888889,0.9166666666666666,0.4,0.7272727272727273,K
680,R,0.75,0.5,1.0,0.75,0.5,0.5,0.25,0.75,0.5,0.5,0.5,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.25,0.75,0.5,0.5,0.25,0.0,0.25,0.75,0.0,0.25,0.4722222222222222,0.75,0.3,0.45454545454545453,K
523,"K, V, R",1.0,1.0,0.0,0.5,1.0,0.75,0.75,1.0,0.75,1.0,1.0,0.0,1.0,0.5,0.75,1.0,1.0,0.75,0.75,0.75,0.0,0.25,0.5,0.75,0.75,1.0,0.75,1.0,0.7777777777777778,0.4166666666666667,0.6,0.8181818181818182,K
741,"K, A, R",0.75,0.5,1.0,0.75,1.0,0.75,1.0,0.5,1.0,0.5,1.0,0.75,0.75,0.75,0.0,0.25,0.25,1.0,0.5,0.5,0.75,0.75,0.5,0.75,1.0,1.0,0.0,1.0,0.3611111111111111,0.9166666666666666,0.75,0.8636363636363636,K
731,A,0.25,0.75,0.75,0.75,0.5,0.75,0.5,0.25,0.75,0.5,0.5,0.5,0.75,0.25,0.75,0.0,0.25,0.5,0.25,1.0,0.5,1.0,1.0,0.75,1.0,0.5,0.5,0.0,0.4722222222222222,0.6666666666666666,0.9,0.45454545454545453,K
751,"V, R",0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.25,0.5,0.25,0.25,0.75,0.0,1.0,0.25,0.0,1.0,0.75,1.0,0.5,0.5,0.75,0.25,0.5,0.75,0.5,0.6944444444444444,0.6666666666666666,0.5,0.5,V
43,"V, K",0.75,1.0,0.0,0.5,1.0,0.75,0.75,0.75,0.5,0.75,0.5,1.0,0.75,0.75,1.0,0.75,0.75,0.75,0.5,1.0,0.25,0.5,0.75,0.5,0.75,0.5,0.75,0.5,0.75,0.4166666666666667,0.65,0.7045454545454546,K
381,R,0.5,0.5,1.0,1.0,0.75,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.25,0.25,0.75,0.5,0.25,0.5,0.25,0.5,0.0,0.75,0.25,0.25,0.5,0.3888888888888889,0.9166666666666666,0.3,0.5,K
571,R,0.0,0.0,1.0,1.0,0.5,0.5,0.75,0.5,0.75,0.75,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.75,0.5,0.0,0.5,0.25,0.25,0.25,0.5,0.75,0.75,0.5,0.4166666666666667,0.9166666666666666,0.35,0.45454545454545453,K
298,"R, A, V",0.5,1.0,1.0,1.0,0.75,0.75,0.25,0.25,0.0,0.25,0.75,0.25,0.0,0.75,0.75,0.75,0.5,1.0,1.0,1.0,0.75,0.25,0.75,0.75,0.75,0.0,1.0,0.5,0.7777777777777778,1.0,0.65,0.36363636363636365,V
779,"V, A",0.5,1.0,0.0,0.75,0.5,0.25,0.25,1.0,0.5,0.0,0.5,0.25,0.25,0.5,0.5,0.75,0.75,0.5,1.0,1.0,1.0,1.0,1.0,0.75,0.0,0.25,1.0,0.5,0.8888888888888888,0.4166666666666667,0.6,0.36363636363636365,V
369,"R, K",0.75,0.5,0.25,1.0,0.5,0.25,0.75,1.0,0.5,0.75,0.75,0.5,0.75,0.75,0.5,0.5,0.5,0.0,0.5,0.0,0.25,0.5,0.5,0.5,0.5,0.75,0.0,0.5,0.4166666666666667,0.4166666666666667,0.45,0.6590909090909091,K
778,R,0.5,0.75,1.0,0.75,0.5,0.5,0.0,0.0,0.75,0.25,0.75,0.5,0.5,0.0,0.5,0.5,0.5,0.75,0.5,0.5,0.5,1.0,0.5,0.5,0.25,0.25,0.25,0.25,0.4444444444444444,0.8333333333333334,0.55,0.38636363636363635,K
544,A,0.0,0.0,0.25,0.5,0.25,0.5,0.75,1.0,0.5,0.0,0.75,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.75,0.0,0.5,0.75,1.0,0.25,1.0,0.25,0.75,0.5,0.5,0.5833333333333334,0.7,0.36363636363636365,V
50,A,0.5,0.0,0.5,0.0,0.25,1.0,0.25,0.25,0.5,0.25,0.5,0.5,0.0,0.5,0.5,0.25,0.5,0.5,0.5,0.25,0.5,1.0,1.0,0.5,0.75,0.25,0.5,0.75,0.3611111111111111,0.3333333333333333,0.85,0.38636363636363635,A
205,K,0.25,0.75,0.5,0.25,1.0,0.75,0.5,0.75,0.75,0.75,1.0,0.75,0.75,0.75,1.0,0.75,0.5,0.0,0.5,0.5,0.0,0.25,0.5,0.5,0.5,0.25,0.0,0.5,0.5277777777777778,0.25,0.5,0.6590909090909091,K
365,"V, R, A",0.5,0.5,1.0,0.5,0.25,1.0,0.25,1.0,0.5,0.25,0.25,0.75,0.0,0.25,0.75,0.75,0.25,1.0,1.0,0.0,0.75,0.75,0.75,0.25,1.0,0.75,0.75,0.5,0.6388888888888888,0.8333333333333334,0.75,0.38636363636363635,V
96,"V, R, K",0.75,0.75,0.75,0.5,0.75,0.5,1.0,0.25,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.75,0.5,0.25,0.5,0.75,0.5,0.5,0.25,0.5,0.75,0.75,0.5,0.6666666666666666,0.5833333333333334,0.45,0.8636363636363636,K
722,"V, R, K",1.0,0.75,0.0,1.0,0.5,0.5,0.75,0.75,0.5,0.75,0.5,0.5,1.0,0.5,1.0,0.75,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.0,0.0,0.25,1.0,0.75,0.8611111111111112,0.6666666666666666,0.4,0.6363636363636364,V
285,"V, K, R",0.5,0.5,0.5,1.0,0.5,0.75,1.0,0.0,0.5,1.0,0.75,1.0,0.75,0.75,0.5,0.5,1.0,1.0,0.75,0.5,1.0,0.25,0.0,1.0,0.25,1.0,1.0,0.75,0.6388888888888888,0.8333333333333334,0.45,0.7727272727272727,K
189,R,0.5,0.0,1.0,0.75,1.0,0.5,0.25,0.0,0.25,0.5,0.25,0.5,0.5,0.25,0.5,0.0,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.75,0.25,1.0,0.5,0.5,0.3055555555555556,0.75,0.5,0.5,K
545,"A, K",1.0,1.0,0.5,0.25,1.0,1.0,1.0,0.5,1.0,1.0,0.75,1.0,0.75,1.0,0.5,0.5,0.75,0.5,0.5,0.25,0.5,1.0,0.25,0.25,0.0,0.75,0.5,0.5,0.5555555555555556,0.4166666666666667,0.5,0.8863636363636364,K
790,A,0.5,0.75,0.75,0.75,0.5,0.5,0.0,0.5,0.25,0.0,0.75,0.0,0.25,0.5,0.25,0.5,0.5,0.5,1.0,0.75,0.5,0.25,1.0,1.0,1.0,0.25,0.25,0.75,0.5555555555555556,0.6666666666666666,0.75,0.3409090909090909,V
111,"R, A, K",1.0,0.25,0.5,1.0,0.5,0.75,0.0,0.5,1.0,0.75,1.0,1.0,1.0,0.25,0.5,0.0,0.25,0.75,0.5,0.25,0.5,1.0,1.0,1.0,1.0,1.0,0.75,0.0,0.3888888888888889,0.75,0.95,0.6818181818181818,K
19,K,0.75,0.25,0.25,0.5,1.0,0.5,1.0,0.5,0.75,1.0,1.0,1.0,0.5,1.0,0.0,0.75,0.25,0.25,0.5,0.5,0.0,0.25,0.5,0.75,0.5,1.0,0.5,0.75,0.3611111111111111,0.3333333333333333,0.5,0.8863636363636364,K
243,K,1.0,0.5,0.5,0.5,1.0,0.75,1.0,0.75,1.0,1.0,0.75,0.75,1.0,0.5,0.5,0.25,0.5,0.5,0.5,0.0,0.75,1.0,0.25,0.75,0.5,0.75,0.5,0.75,0.4722222222222222,0.5,0.65,0.8636363636363636,K
537,V,0.25,0.75,0.75,0.75,0.25,0.5,0.5,0.0,0.75,0.0,0.25,0.25,0.5,0.5,1.0,0.75,0.5,1.0,0.75,0.5,1.0,0.25,0.5,0.5,0.5,0.0,1.0,0.0,0.6944444444444444,0.8333333333333334,0.45,0.29545454545454547,V
268,"R, A",0.25,1.0,0.75,1.0,0.75,1.0,0.0,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.75,0.0,0.5,0.5,0.75,0.75,0.75,0.75,0.5,0.25,0.0,0.5,0.5,0.5833333333333334,0.75,0.4090909090909091,V
765,V,0.5,0.75,0.25,0.5,0.25,0.25,0.25,0.0,0.25,0.0,1.0,0.75,0.0,0.75,1.0,1.0,0.75,0.0,0.75,0.75,1.0,0.75,0.5,0.75,0.5,0.5,0.5,0.25,0.7222222222222222,0.25,0.55,0.4090909090909091,V
444,"V, A",0.75,0.75,0.0,0.75,0.5,0.5,0.25,1.0,0.75,0.75,0.0,1.0,0.75,0.5,0.25,0.75,0.75,0.5,0.75,0.75,0.75,0.75,1.0,0.0,0.75,0.25,0.75,0.25,0.7222222222222222,0.4166666666666667,0.6,0.5227272727272727,V
587,V,0.75,0.0,0.5,0.5,0.0,0.5,0.5,1.0,0.5,0.25,0.0,0.75,0.0,0.75,1.0,0.5,0.5,0.75,0.5,0.5,0.0,0.5,0.25,0.25,0.5,0.25,1.0,0.25,0.5555555555555556,0.5833333333333334,0.4,0.36363636363636365,"V, K"
182,A,0.5,0.25,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.75,0.25,0.25,1.0,0.25,0.5,0.5,0.75,0.5,0.75,0.25,0.75,0.5,0.75,0.25,0.5277777777777778,0.4166666666666667,0.55,0.4090909090909091,V
687,V,0.75,0.5,0.25,0.0,0.25,0.25,0.75,0.75,0.25,0.5,0.5,0.5,0.5,0.0,0.75,0.0,1.0,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5833333333333334,0.3333333333333333,0.45,0.45454545454545453,V
225,"R, K",1.0,0.0,0.75,0.0,1.0,0.5,1.0,0.25,1.0,1.0,0.5,1.0,0.25,0.5,0.75,0.75,0.5,1.0,0.25,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.75,1.0,0.4722222222222222,0.5833333333333334,0.3,0.8409090909090909,K
269,A,0.5,0.25,1.0,0.75,0.25,0.75,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.75,0.75,0.5,0.25,0.5,0.75,1.0,0.25,0.5,0.5,0.75,0.5,0.5,0.5277777777777778,0.75,0.6,0.5,K
532,"K, A",1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.25,0.5,0.0,1.0,0.75,0.75,1.0,0.0,0.0,0.5,0.75,0.25,0.5,0.5,0.75,0.75,0.0,0.0,1.0,0.75,0.75,0.3055555555555556,0.4166666666666667,0.5,0.7954545454545454,K
335,"V, K",0.25,0.5,0.25,0.0,0.5,0.25,0.75,0.75,1.0,0.75,0.75,0.5,1.0,0.75,0.75,1.0,0.75,0.5,0.75,1.0,0.75,0.5,0.5,0.0,0.25,1.0,0.75,0.75,0.7777777777777778,0.25,0.3,0.7272727272727273,K
508,"V, K",1.0,1.0,0.75,0.0,1.0,0.5,0.5,1.0,0.75,1.0,1.0,0.75,1.0,0.5,0.5,0.75,0.75,0.0,1.0,0.75,1.0,0.5,0.75,0.5,0.5,1.0,1.0,0.75,0.8611111111111112,0.25,0.55,0.8409090909090909,K
520,"K, A",1.0,0.5,1.0,0.25,0.0,0.5,0.75,0.75,1.0,1.0,0.25,0.5,0.75,0.25,0.25,0.0,0.75,0.5,0.25,0.75,0.75,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5833333333333334,0.8,0.6818181818181818,K
101,"R, A, V",0.0,1.0,1.0,0.5,0.5,1.0,0.0,0.5,0.0,0.75,0.5,0.0,0.75,0.25,1.0,0.75,0.75,0.75,0.75,1.0,1.0,0.25,0.75,0.75,1.0,0.0,1.0,0.75,0.8611111111111112,0.75,0.75,0.3181818181818182,V
610,"R, K",1.0,0.75,0.75,0.25,1.0,0.25,0.75,0.5,0.75,1.0,1.0,0.0,0.75,1.0,0.5,0.0,0.5,0.25,1.0,0.25,0.5,0.25,0.75,0.25,0.5,1.0,0.0,1.0,0.4444444444444444,0.4166666666666667,0.4,0.8409090909090909,K
742,K,1.0,0.0,0.5,0.0,0.75,0.5,0.75,0.5,0.25,0.75,0.75,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.25,1.0,0.75,0.5,0.5,0.5,0.5,1.0,0.25,1.0,0.4722222222222222,0.16666666666666666,0.5,0.7954545454545454,K
629,"R, A",1.0,0.0,0.5,1.0,0.5,1.0,0.5,0.25,0.5,0.5,0.0,0.0,0.0,0.25,0.5,0.25,0.0,1.0,0.0,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.0,0.25,0.19444444444444445,0.8333333333333334,0.6,0.3409090909090909,K
678,K,0.75,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.75,0.5,1.0,1.0,0.75,1.0,0.5,0.25,0.75,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.25,0.5,0.3888888888888889,0.16666666666666666,0.4,0.7727272727272727,K
439,"R, A",0.0,0.0,0.5,0.75,0.25,0.0,0.75,0.75,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.25,0.75,1.0,0.5,0.5,1.0,1.0,0.75,0.5,0.25,0.5,0.5,0.5,0.6666666666666666,0.65,0.38636363636363635,V
